longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
4.896506078170487219e-01,-8.749097804025397496e-01,1.034344117027192533e+00,-8.324564540752187325e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.835477073583843155e-01,-8.890531639179232171e-01,1.029621538307537776e+00,-8.324476213453686491e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.790291454770093105e-01,-9.011205630542635792e-01,1.025704305901502744e+00,-8.324387886155185656e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.733171369569112996e-01,-9.144140527978866784e-01,1.021568626603308161e+00,-8.324299558856684822e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.671643186217581123e-01,-9.247949314109344954e-01,1.021466294730607460e+00,-8.324211231558183988e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.618249270209996982e-01,-9.375434040816233994e-01,1.029123199037768277e+00,-8.324122904259682043e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.563238129606490001e-01,-9.582369235548928721e-01,1.031920910735173447e+00,-8.324034576961181209e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.508910784899264335e-01,-9.669039134357971799e-01,1.037762577890226190e+00,-8.323946249662680374e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.437397820718430030e-01,-9.844920958527211274e-01,1.034022356843863344e+00,-8.323857922364179540e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.380130098844903785e-01,-9.969457886136751101e-01,1.041400766589592797e+00,-8.323769595065678706e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
